10 0.04
20 0.02
30 0.01
40 0.03
50 0.02
60 0.02
70 0.03
80 0.05
90 0.06
100 0.08
110 0.11
120 0.14
130 0.17
140 0.20
150 0.26
160 0.29
170 0.34
180 0.41
190 0.48
200 0.55
210 0.72
220 0.85
230 0.89
240 1.03
250 1.19
260 1.33
270 1.52
280 1.52
290 1.75
300 1.96
310 2.11
320 2.42
330 2.66
340 2.89
350 3.15
360 3.73
370 3.93
380 4.32
390 4.51
400 4.77
