       t     Original        Noisy      AmpFilt     FreqFilt
  0,0000       1,5036       1,6922       1,5066       1,4865
  0,0010       1,3536       1,3527       1,3573       1,3486
  0,0020       1,1918       0,9965       1,1970       1,2006
  0,0029       1,0338       0,9095       1,0408       1,0564
  0,0039       0,8938       1,0302       0,9031       0,9287
  0,0049       0,7833       0,9578       0,7951       0,8277
  0,0059       0,7096       0,7525       0,7234       0,7596
  0,0068       0,6745       0,7007       0,6898       0,7261
  0,0078       0,6747       0,6416       0,6907       0,7240
  0,0088       0,7019       0,7514       0,7178       0,7460
  0,0098       0,7444       0,6660       0,7592       0,7813
  0,0107       0,7886       0,9243       0,8015       0,8178
  0,0117       0,8209       1,0179       0,8311       0,8430
  0,0127       0,8295       0,8528       0,8369       0,8466
  0,0137       0,8066       0,6964       0,8109       0,8211
  0,0146       0,7487       0,7788       0,7504       0,7635
  0,0156       0,6580       0,6928       0,6576       0,6757
  0,0166       0,5415       0,4408       0,5397       0,5640
  0,0176       0,4105       0,4412       0,4081       0,4387
  0,0186       0,2789       0,3050       0,2768       0,3126
  0,0195       0,1616       0,2235       0,1605       0,1994
  0,0205       0,0722       0,2158       0,0726       0,1118
  0,0215       0,0215       0,1203       0,0235       0,0598
  0,0225       0,0158       0,1580       0,0194       0,0495
  0,0234       0,0562      -0,0446       0,0609       0,0820
  0,0244       0,1381       0,0691       0,1434       0,1533
  0,0254       0,2523       0,1232       0,2574       0,2549
  0,0264       0,3857       0,4385       0,3898       0,3747
  0,0273       0,5231       0,4013       0,5256       0,4988
  0,0283       0,6493       0,6763       0,6496       0,6131
  0,0293       0,7509       0,7796       0,7487       0,7050
  0,0303       0,8179       0,9488       0,8135       0,7656
  0,0313       0,8453       0,7321       0,8389       0,7904
  0,0322       0,8334       0,8907       0,8257       0,7798
  0,0332       0,7876       0,5970       0,7794       0,7393
  0,0342       0,7177       0,5334       0,7100       0,6783
  0,0352       0,6364       0,5213       0,6301       0,6092
  0,0361       0,5578       0,6671       0,5536       0,5449
  0,0371       0,4948       0,6315       0,4932       0,4976
  0,0381       0,4579       0,3915       0,4592       0,4764
  0,0391       0,4533       0,4574       0,4573       0,4866
  0,0400       0,4822       0,5015       0,4887       0,5280
  0,0410       0,5407       0,6369       0,5488       0,5956
  0,0420       0,6197       0,6945       0,6288       0,6796
  0,0430       0,7069       0,8145       0,7160       0,7668
  0,0439       0,7877       0,8150       0,7961       0,8427
  0,0449       0,8475       0,8433       0,8546       0,8929
  0,0459       0,8738       0,9914       0,8791       0,9056
  0,0469       0,8574       0,7196       0,8609       0,8729
  0,0479       0,7941       0,9310       0,7960       0,7921
  0,0488       0,6851       0,6559       0,6859       0,6663
  0,0498       0,5370       0,5613       0,5373       0,5038
  0,0508       0,3608       0,2870       0,3615       0,3174
  0,0518       0,1707       0,0249       0,1725       0,1225
  0,0527      -0,0177      -0,0565      -0,0143      -0,0646
  0,0537      -0,1898      -0,3447      -0,1843      -0,2292
  0,0547      -0,3333      -0,2330      -0,3255      -0,3598
  0,0557      -0,4400      -0,5776      -0,4303      -0,4497
  0,0566      -0,5069      -0,3304      -0,4957      -0,4977
  0,0576      -0,5364      -0,5309      -0,5244      -0,5085
  0,0586      -0,5357      -0,4320      -0,5239      -0,4917
  0,0596      -0,5159      -0,3259      -0,5052      -0,4606
  0,0605      -0,4906      -0,5426      -0,4818      -0,4303
  0,0615      -0,4734      -0,3334      -0,4671      -0,4153
  0,0625      -0,4764      -0,6557      -0,4732      -0,4280
  0,0635      -0,5086      -0,5180      -0,5085      -0,4764
  0,0645      -0,5742      -0,5252      -0,5770      -0,5633
  0,0654      -0,6723      -0,7325      -0,6774      -0,6857
  0,0664      -0,7966      -0,7828      -0,8034      -0,8349
  0,0674      -0,9367      -1,0626      -0,9444      -0,9981
  0,0684      -1,0790      -1,1338      -1,0866      -1,1596
  0,0693      -1,2087      -1,0832      -1,2155      -1,3030
  0,0703      -1,3116      -1,3491      -1,3172      -1,4135
  0,0713      -1,3764      -1,4794      -1,3805      -1,4796
  0,0723      -1,3958      -1,5738      -1,3983      -1,4947
  0,0732      -1,3675      -1,5248      -1,3689      -1,4582
  0,0742      -1,2950      -1,4477      -1,2957      -1,3753
  0,0752      -1,1867      -1,3626      -1,1875      -1,2562
  0,0762      -1,0550      -1,2205      -1,0568      -1,1152
  0,0771      -0,9149      -0,8430      -0,9182      -0,9686
  0,0781      -0,7817      -0,6466      -0,7872      -0,8325
  0,0791      -0,6694      -0,7161      -0,6773      -0,7209
  0,0801      -0,5887      -0,5981      -0,5990      -0,6441
  0,0811      -0,5456      -0,6044      -0,5580      -0,6070
  0,0820      -0,5411      -0,6849      -0,5549      -0,6090
  0,0830      -0,5706      -0,7663      -0,5851      -0,6440
  0,0840      -0,6252      -0,6206      -0,6395      -0,7017
  0,0850      -0,6926      -0,8600      -0,7056      -0,7685
  0,0859      -0,7589      -0,8629      -0,7699      -0,8301
  0,0869      -0,8107      -0,6465      -0,8192      -0,8730
  0,0879      -0,8370      -0,9216      -0,8427      -0,8869
  0,0889      -0,8307      -1,0082      -0,8335      -0,8656
  0,0898      -0,7893      -0,6565      -0,7896      -0,8083
  0,0908      -0,7161      -0,7849      -0,7145      -0,7197
  0,0918      -0,6190      -0,5890      -0,6163      -0,6092
  0,0928      -0,5099      -0,4959      -0,5070      -0,4899
  0,0938      -0,4031      -0,5319      -0,4007      -0,3770
  0,0947      -0,3133      -0,1570      -0,3121      -0,2855
  0,0957      -0,2538      -0,1997      -0,2541      -0,2284
  0,0967      -0,2343      -0,3173      -0,2365      -0,2150
  0,0977      -0,2603      -0,0820      -0,2641      -0,2498
  0,0986      -0,3317      -0,4757      -0,3366      -0,3314
  0,0996      -0,4430      -0,5392      -0,4484      -0,4532
  0,1006      -0,5838      -0,3957      -0,5890      -0,6040
  0,1016      -0,7406      -0,7489      -0,7448      -0,7693
  0,1025      -0,8981      -0,8527      -0,9005      -0,9334
  0,1035      -1,0410      -1,1792      -1,0414      -1,0810
  0,1045      -1,1567      -1,3275      -1,1548      -1,1993
  0,1055      -1,2361      -1,4039      -1,2320      -1,2798
  0,1064      -1,2751      -1,3565      -1,2693      -1,3187
  0,1074      -1,2751      -1,0773      -1,2682      -1,3179
  0,1084      -1,2423      -1,1661      -1,2353      -1,2840
  0,1094      -1,1874      -1,3596      -1,1811      -1,2279
  0,1104      -1,1235      -1,2190      -1,1188      -1,1626
  0,1113      -1,0645      -0,9942      -1,0621      -1,1019
  0,1123      -1,0229      -1,0726      -1,0234      -1,0584
  0,1133      -1,0086      -1,0091      -1,0120      -1,0412
  0,1143      -1,0267      -1,2199      -1,0329      -1,0555
  0,1152      -1,0774      -0,9937      -1,0860      -1,1012
  0,1162      -1,1557      -1,3393      -1,1659      -1,1732
  0,1172      -1,2517      -1,0657      -1,2628      -1,2619
  0,1182      -1,3525      -1,3360      -1,3635      -1,3546
  0,1191      -1,4433      -1,5995      -1,4536      -1,4371
  0,1201      -1,5099      -1,4603      -1,5188      -1,4955
  0,1211      -1,5401      -1,3814      -1,5473      -1,5185
  0,1221      -1,5257      -1,6029      -1,5312      -1,4983
  0,1230      -1,4636      -1,2709      -1,4677      -1,4321
  0,1240      -1,3561      -1,5248      -1,3592      -1,3225
  0,1250      -1,2107      -1,1436      -1,2136      -1,1769
  0,1260      -1,0391      -1,0312      -1,0426      -1,0069
  0,1270      -0,8561      -0,6847      -0,8609      -0,8267
  0,1279      -0,6771      -0,7861      -0,6837      -0,6510
  0,1289      -0,5165      -0,5465      -0,5253      -0,4936
  0,1299      -0,3858      -0,2683      -0,3969      -0,3654
  0,1309      -0,2922      -0,1986      -0,3052      -0,2727
  0,1318      -0,2377      -0,1585      -0,2521      -0,2172
  0,1328      -0,2188      -0,3692      -0,2338      -0,1953
  0,1338      -0,2273      -0,2249      -0,2421      -0,1989
  0,1348      -0,2517      -0,1021      -0,2652      -0,2167
  0,1357      -0,2781      -0,2673      -0,2897      -0,2356
  0,1367      -0,2931      -0,1506      -0,3020      -0,2431
  0,1377      -0,2850      -0,3095      -0,2909      -0,2286
  0,1387      -0,2458      -0,4454      -0,2486      -0,1850
  0,1396      -0,1722       0,0051      -0,1723      -0,1103
  0,1406      -0,0664       0,1001      -0,0641      -0,0071
  0,1416       0,0648       0,1039       0,0684       0,1169
  0,1426       0,2098       0,4044       0,2141       0,2503
  0,1436       0,3549       0,3832       0,3590       0,3795
  0,1445       0,4851       0,5460       0,4883       0,4905
  0,1455       0,5867       0,4663       0,5885       0,5706
  0,1465       0,6490       0,4636       0,6493       0,6106
  0,1475       0,6657       0,5302       0,6645       0,6058
  0,1484       0,6357       0,5083       0,6334       0,5566
  0,1494       0,5635       0,6011       0,5607       0,4690
