       t     Original        Noisy      AmpFilt     FreqFilt
  0.7783       0.7769       0.7806       0.7872       0.7481
  0.7793       0.7958       0.6202       0.8060       0.7631
  0.7803       0.8140       0.9166       0.8240       0.7767
  0.7813       0.8315       0.8155       0.8413       0.7894
  0.7822       0.8481       0.7168       0.8577       0.8019
  0.7832       0.8640       0.7007       0.8734       0.8145
  0.7842       0.8790       1.0501       0.8882       0.8278
  0.7852       0.8932       0.9427       0.9022       0.8421
  0.7861       0.9066       0.8049       0.9153       0.8577
  0.7871       0.9191       0.7264       0.9276       0.8745
  0.7881       0.9308       0.7818       0.9390       0.8925
  0.7891       0.9415       0.9173       0.9495       0.9114
  0.7900       0.9514       1.0623       0.9591       0.9307
  0.7910       0.9604       1.1379       0.9679       0.9497
  0.7920       0.9685       0.8870       0.9757       0.9679
  0.7930       0.9757       0.7864       0.9826       0.9845
  0.7939       0.9820       1.0273       0.9885       0.9988
  0.7949       0.9873       1.0222       0.9936       1.0103
  0.7959       0.9917       1.1891       0.9977       1.0185
  0.7969       0.9952       0.9165       1.0008       1.0231
  0.7979       0.9977       0.9837       1.0030       1.0241
  0.7988       0.9993       1.0545       1.0043       1.0215
  0.7998       1.0000       1.1161       1.0047       1.0158
  0.8008       0.9997       0.8023       1.0040       1.0074
  0.8018       0.9985       0.8874       1.0025       0.9969
  0.8027       0.9963       1.0485       1.0000       0.9851
  0.8037       0.9932       0.9375       0.9965       0.9727
  0.8047       0.9892       1.0606       0.9922       0.9605
  0.8057       0.9842       1.1789       0.9868       0.9492
  0.8066       0.9783       0.9800       0.9806       0.9391
  0.8076       0.9715       0.9509       0.9734       0.9307
  0.8086       0.9638       0.9326       0.9654       0.9241
  0.8096       0.9551       0.9231       0.9564       0.9193
  0.8105       0.9456       0.7460       0.9465       0.9158
  0.8115       0.9352       0.7436       0.9357       0.9135
  0.8125       0.9239       0.8356       0.9240       0.9115
  0.8135       0.9117       1.0381       0.9115       0.9093
  0.8145       0.8987       0.8438       0.8981       0.9062
  0.8154       0.8848       0.8139       0.8839       0.9015
  0.8164       0.8701       1.0035       0.8688       0.8946
  0.8174       0.8546       0.9206       0.8529       0.8851
  0.8184       0.8382       0.9513       0.8362       0.8725
  0.8193       0.8211       0.9262       0.8188       0.8569
  0.8203       0.8032       0.8827       0.8005       0.8382
  0.8213       0.7846       0.6556       0.7815       0.8166
  0.8223       0.7652       0.9606       0.7618       0.7926
  0.8232       0.7451       0.7099       0.7413       0.7667
  0.8242       0.7242       0.6971       0.7202       0.7393
  0.8252       0.7028       0.6296       0.6983       0.7111
  0.8262       0.6806       0.6854       0.6759       0.6828
  0.8271       0.6578       0.7342       0.6527       0.6546
  0.8281       0.6344       0.7720       0.6290       0.6271
  0.8291       0.6104       0.5628       0.6047       0.6004
  0.8301       0.5858       0.4003       0.5798       0.5747
  0.8311       0.5607       0.4104       0.5543       0.5499
  0.8320       0.5350       0.6835       0.5284       0.5258
  0.8330       0.5088       0.4171       0.5019       0.5021
  0.8340       0.4822       0.5821       0.4750       0.4785
  0.8350       0.4551       0.3502       0.4476       0.4544
  0.8359       0.4276       0.4440       0.4198       0.4295
  0.8369       0.3996       0.4920       0.3916       0.4034
  0.8379       0.3713       0.2710       0.3630       0.3760
  0.8389       0.3427       0.3974       0.3341       0.3469
  0.8398       0.3137       0.4103       0.3049       0.3163
  0.8408       0.2844       0.3123       0.2754       0.2841
  0.8418       0.2549       0.3371       0.2456       0.2508
  0.8428       0.2251       0.0329       0.2156       0.2166
  0.8438       0.1951       0.3056       0.1854       0.1819
  0.8447       0.1649       0.3340       0.1551       0.1472
  0.8457       0.1346      -0.0587       0.1245       0.1130
  0.8467       0.1041      -0.0116       0.0939       0.0796
  0.8477       0.0736      -0.0263       0.0632       0.0474
  0.8486       0.0429      -0.0513       0.0324       0.0165
  0.8496       0.0123      -0.1238       0.0016      -0.0129
  0.8506      -0.0184       0.0368      -0.0292      -0.0410
  0.8516      -0.0491       0.0239      -0.0600      -0.0680
  0.8525      -0.0797       0.0704      -0.0908      -0.0942
  0.8535      -0.1102      -0.2736      -0.1214      -0.1200
  0.8545      -0.1407      -0.0091      -0.1519      -0.1460
  0.8555      -0.1710      -0.2776      -0.1823      -0.1727
  0.8564      -0.2011      -0.3137      -0.2126      -0.2004
  0.8574      -0.2311      -0.0596      -0.2426      -0.2297
  0.8584      -0.2608      -0.3162      -0.2724      -0.2607
  0.8594      -0.2903      -0.3003      -0.3019      -0.2936
  0.8604      -0.3195      -0.1942      -0.3312      -0.3283
  0.8613      -0.3484      -0.3066      -0.3601      -0.3647
  0.8623      -0.3770      -0.5606      -0.3887      -0.4024
  0.8633      -0.4052      -0.4518      -0.4169      -0.4409
  0.8643      -0.4331      -0.2825      -0.4448      -0.4796
  0.8652      -0.4605      -0.6007      -0.4722      -0.5178
  0.8662      -0.4876      -0.6841      -0.4992      -0.5550
  0.8672      -0.5141      -0.6876      -0.5257      -0.5905
  0.8682      -0.5402      -0.6901      -0.5517      -0.6237
  0.8691      -0.5657      -0.4531      -0.5772      -0.6542
  0.8701      -0.5908      -0.7497      -0.6022      -0.6816
  0.8711      -0.6152      -0.6488      -0.6265      -0.7059
  0.8721      -0.6391      -0.7809      -0.6503      -0.7271
  0.8730      -0.6624      -0.8540      -0.6735      -0.7452
  0.8740      -0.6851      -0.8335      -0.6961      -0.7607
  0.8750      -0.7071      -0.7183      -0.7180      -0.7738
  0.8760      -0.7285      -0.5408      -0.7392      -0.7852
  0.8770      -0.7491      -0.6949      -0.7597      -0.7952
  0.8779      -0.7691      -0.7653      -0.7795      -0.8044
  0.8789      -0.7883      -0.8682      -0.7986      -0.8132
  0.8799      -0.8068      -0.8863      -0.8169      -0.8220
  0.8809      -0.8246      -0.8484      -0.8345      -0.8311
  0.8818      -0.8416      -0.8098      -0.8512      -0.8406
  0.8828      -0.8577      -0.9692      -0.8672      -0.8505
  0.8838      -0.8731      -0.9138      -0.8824      -0.8608
  0.8848      -0.8876      -0.9108      -0.8967      -0.8714
  0.8857      -0.9013      -0.7030      -0.9102      -0.8821
  0.8867      -0.9142      -1.0426      -0.9228      -0.8927
  0.8877      -0.9262      -0.7579      -0.9345      -0.9029
  0.8887      -0.9373      -1.1356      -0.9454      -0.9125
  0.8896      -0.9476      -1.0186      -0.9554      -0.9214
  0.8906      -0.9569      -0.8360      -0.9645      -0.9296
  0.8916      -0.9654      -0.8103      -0.9726      -0.9369
  0.8926      -0.9729      -1.1081      -0.9799      -0.9436
  0.8936      -0.9796      -0.8082      -0.9862      -0.9496
  0.8945      -0.9853      -0.7992      -0.9917      -0.9554
  0.8955      -0.9901      -0.9242      -0.9961      -0.9609
  0.8965      -0.9939      -0.9395      -0.9997      -0.9666
  0.8975      -0.9968      -0.8369      -1.0023      -0.9724
  0.8984      -0.9988      -0.8896      -1.0039      -0.9786
  0.8994      -0.9998      -1.1966      -1.0046      -0.9852
  0.9004      -0.9999      -1.1422      -1.0044      -0.9921
  0.9014      -0.9991      -1.1490      -1.0032      -0.9992
  0.9023      -0.9973      -1.0042      -1.0011      -1.0061
  0.9033      -0.9946      -1.1717      -0.9980      -1.0125
  0.9043      -0.9909      -1.1021      -0.9940      -1.0180
  0.9053      -0.9863      -0.9716      -0.9891      -1.0221
  0.9063      -0.9808      -0.8391      -0.9832      -1.0244
  0.9072      -0.9743      -0.7893      -0.9764      -1.0244
  0.9082      -0.9670      -1.0242      -0.9687      -1.0217
  0.9092      -0.9587      -1.0530      -0.9601      -1.0161
  0.9102      -0.9495      -0.9164      -0.9505      -1.0075
  0.9111      -0.9395      -0.9718      -0.9401      -0.9958
  0.9121      -0.9285      -1.1041      -0.9288      -0.9812
  0.9131      -0.9167      -1.0472      -0.9166      -0.9641
  0.9141      -0.9040      -0.9549      -0.9036      -0.9447
  0.9150      -0.8904      -1.0804      -0.8897      -0.9237
  0.9160      -0.8761      -0.7482      -0.8749      -0.9015
  0.9170      -0.8609      -0.6667      -0.8594      -0.8789
  0.9180      -0.8449      -0.8711      -0.8430      -0.8563
  0.9189      -0.8280      -0.9665      -0.8258      -0.8343
  0.9199      -0.8105      -0.6786      -0.8079      -0.8132
  0.9209      -0.7921      -0.9339      -0.7892      -0.7935
  0.9219      -0.7730      -0.9247      -0.7698      -0.7751
  0.9229      -0.7532      -0.7695      -0.7496      -0.7581
  0.9238      -0.7327      -0.8125      -0.7287      -0.7423
  0.9248      -0.7114      -0.7002      -0.7072      -0.7273
  0.9258      -0.6895      -0.4961      -0.6849      -0.7129
  0.9268      -0.6670      -0.8299      -0.6621      -0.6983
  0.9277      -0.6438      -0.7783      -0.6386      -0.6832
  0.9287      -0.6201      -0.4971      -0.6145      -0.6669
  0.9297      -0.5957      -0.6624      -0.5898      -0.6488
  0.9307      -0.5708      -0.4765      -0.5646      -0.6286
  0.9316      -0.5453      -0.4507      -0.5388      -0.6059
  0.9326      -0.5194      -0.6024      -0.5126      -0.5805
  0.9336      -0.4929      -0.6302      -0.4858      -0.5522
  0.9346      -0.4660      -0.5399      -0.4586      -0.5212
  0.9355      -0.4386      -0.6000      -0.4310      -0.4876
  0.9365      -0.4108      -0.5452      -0.4029      -0.4517
  0.9375      -0.3827      -0.5123      -0.3745      -0.4140
  0.9385      -0.3542      -0.1921      -0.3457      -0.3748
  0.9395      -0.3253      -0.4686      -0.3166      -0.3347
  0.9404      -0.2962      -0.4096      -0.2872      -0.2942
  0.9414      -0.2667      -0.2412      -0.2576      -0.2538
  0.9424      -0.2370      -0.1410      -0.2277      -0.2139
  0.9434      -0.2071      -0.1113      -0.1975      -0.1748
  0.9443      -0.1770      -0.2238      -0.1672      -0.1369
  0.9453      -0.1467      -0.0160      -0.1368      -0.1002
  0.9463      -0.1163       0.0791      -0.1062      -0.0650
  0.9473      -0.0858      -0.0636      -0.0755      -0.0312
  0.9482      -0.0552       0.1208      -0.0447       0.0013
  0.9492      -0.0245       0.1134      -0.0139       0.0325
  0.9502       0.0061       0.0663       0.0169       0.0626
  0.9512       0.0368       0.0230       0.0477       0.0918
  0.9521       0.0674       0.1151       0.0785       0.1202
  0.9531       0.0980      -0.0306       0.1092       0.1479
  0.9541       0.1285       0.3281       0.1398       0.1753
  0.9551       0.1589      -0.0393       0.1702       0.2023
  0.9561       0.1891      -0.0015       0.2005       0.2291
  0.9570       0.2191       0.3218       0.2306       0.2558
  0.9580       0.2489       0.3265       0.2605       0.2825
  0.9590       0.2785       0.2998       0.2901       0.3092
  0.9600       0.3078       0.4125       0.3195       0.3362
  0.9609       0.3369       0.4564       0.3486       0.3633
  0.9619       0.3656       0.3855       0.3773       0.3907
  0.9629       0.3940       0.5664       0.4057       0.4185
  0.9639       0.4220       0.5608       0.4337       0.4466
  0.9648       0.4496       0.5226       0.4613       0.4751
  0.9658       0.4768       0.5843       0.4884       0.5040
  0.9668       0.5035       0.3102       0.5151       0.5332
  0.9678       0.5298       0.3529       0.5414       0.5625
  0.9688       0.5556       0.7270       0.5671       0.5918
  0.9697       0.5808       0.6430       0.5922       0.6210
  0.9707       0.6055       0.7293       0.6169       0.6495
  0.9717       0.6296       0.6413       0.6409       0.6772
  0.9727       0.6532       0.4580       0.6643       0.7037
  0.9736       0.6761       0.7213       0.6871       0.7285
  0.9746       0.6984       0.7310       0.7093       0.7512
  0.9756       0.7200       0.6723       0.7308       0.7717
  0.9766       0.7410       0.8288       0.7516       0.7895
  0.9775       0.7612       0.9281       0.7717       0.8046
  0.9785       0.7807       0.8613       0.7911       0.8168
  0.9795       0.7995       0.9976       0.8097       0.8263
  0.9805       0.8176       0.8324       0.8275       0.8333
  0.9814       0.8349       0.7243       0.8446       0.8382
  0.9824       0.8514       1.0364       0.8609       0.8414
  0.9834       0.8670       0.9402       0.8764       0.8436
  0.9844       0.8819       0.7901       0.8911       0.8453
  0.9854       0.8960       0.7429       0.9049       0.8474
  0.9863       0.9092       0.7547       0.9178       0.8504
  0.9873       0.9215       0.7847       0.9299       0.8550
  0.9883       0.9330       0.8572       0.9412       0.8617
  0.9893       0.9436       0.7728       0.9515       0.8707
  0.9902       0.9533       0.9163       0.9609       0.8823
  0.9912       0.9621       0.9549       0.9695       0.8964
  0.9922       0.9700       0.9108       0.9771       0.9127
  0.9932       0.9770       0.9291       0.9838       0.9308
  0.9941       0.9831       0.9501       0.9896       0.9501
  0.9951       0.9883       0.7939       0.9945       0.9697
  0.9961       0.9925       1.1161       0.9984       0.9889
  0.9971       0.9958       1.1527       1.0013       1.0066
  0.9980       0.9981       1.0783       1.0034       1.0220
  0.9990       0.9995       0.8228       1.0045       1.0343
