101 0,0158095113230841
103 0,0186762413686709
105 0,0223989766866767
107 0,0273553957754105
109 0,0341566775494775
111 0,0438445049651012
113 0,0583126810611046
115 0,0813007336072344
117 0,121048878344862
119 0,198717493294005
121 0,382636901434966
123 0,99537349105109
125 4,85713862750907
127 4,60516980187943
129 0,962980901799785
131 0,374564474831744
133 0,195651730853104
135 0,119581347003605
137 0,080489867723963
139 0,057818942360319
141 0,0435220740481209
143 0,0339347100706947
145 0,0271961657561039
147 0,0222809171157768
149 0,0185863058881766
151 0,015739435489694
153 0,0134995874844884
155 0,0117057604601143
157 0,0102469785088087
159 0,00904474053132631
