-1 0
-0,983333333333333 -0,0162562374692214
-0,966666666666667 -0,0317063370471757
-0,95 -0,0463771931106258
-0,933333333333333 -0,0602953476395314
-0,916666666666666 -0,0734869632043882
-0,9 -0,0859777994807693
-0,883333333333333 -0,097793193132965
-0,866666666666666 -0,108958040885096
-0,85 -0,119496785577553
-0,833333333333333 -0,129433404990262
-0,816666666666666 -0,138791403201424
-0,799999999999999 -0,14759380424081
-0,783333333333333 -0,155863147791649
-0,766666666666666 -0,16362148669284
-0,749999999999999 -0,170890385994703
-0,733333333333333 -0,177690923326352
-0,716666666666666 -0,184043690340161
-0,699999999999999 -0,189968795009353
-0,683333333333332 -0,19548586456736
-0,666666666666666 -0,200614048892533
-0,649999999999999 -0,205372024158063
-0,633333333333332 -0,209777996585199
-0,616666666666665 -0,213849706156381
-0,599999999999999 -0,217604430164517
-0,583333333333332 -0,221058986494469
-0,566666666666665 -0,224229736552282
-0,549999999999999 -0,227132587777206
-0,533333333333332 -0,22978299569008
-0,516666666666665 -0,232195965449279
-0,499999999999999 -0,234386052902071
-0,483333333333332 -0,236367365134281
-0,466666666666665 -0,238153560534673
-0,449999999999999 -0,239757848402707
-0,433333333333332 -0,241192988138096
-0,416666666666665 -0,242471288059409
-0,399999999999999 -0,243604603905268
-0,383333333333332 -0,244604337076684
-0,366666666666665 -0,245481432681878
-0,349999999999999 -0,246246377446624
-0,333333333333332 -0,246909197552789
-0,316666666666665 -0,247479456465946
-0,299999999999999 -0,247966252810528
-0,283333333333332 -0,248378218346204
-0,266666666666665 -0,248723516094707
-0,249999999999999 -0,249009838660186
-0,233333333333332 -0,24924440677956
-0,216666666666665 -0,249433968132735
-0,199999999999999 -0,249584796434817
-0,183333333333332 -0,249702690825579
-0,166666666666665 -0,249792975563665
-0,149999999999999 -0,249860500026188
-0,133333333333332 -0,249909639007249
-0,116666666666665 -0,249944293302658
-0,0999999999999986 -0,249967890562221
-0,0833333333333319 -0,249983386385509
-0,0666666666666653 -0,249993265632607
-0,0499999999999986 -0,249999543917372
-0,0333333333333319 -0,250003769247584
-0,0166666666666653 -0,250007023774121
1,39471767468535E-15 -0,25000992560971
0,0166666666666681 -0,250012630677134
0,0333333333333347 -0,250014834546629
0,0500000000000014 -0,250015774223147
0,0666666666666681 -0,250014229845473
0,0833333333333347 -0,250008526261265
0,100000000000001 -0,249996534444794
0,116666666666668 -0,249975672727253
0,133333333333335 -0,249942907813203
0,150000000000001 -0,249894755560625
0,166666666666668 -0,249827281506423
0,183333333333335 -0,249736101123805
0,200000000000001 -0,249616379802521
0,216666666666668 -0,249462832548005
0,233333333333335 -0,249269723400044
0,250000000000001 -0,249030864576707
0,266666666666668 -0,248739615353823
0,283333333333335 -0,248388880695032
0,300000000000001 -0,247971109651804
0,316666666666668 -0,247478293557201
0,333333333333335 -0,246901964040958
0,350000000000001 -0,246233190897236
0,366666666666668 -0,245462579839902
0,383333333333335 -0,244580270183008
0,400000000000001 -0,243575932487087
0,416666666666668 -0,242438766214121
0,433333333333335 -0,241157497436067
0,450000000000001 -0,239720376643433
0,466666666666668 -0,238115176701854
0,483333333333335 -0,236329191005176
0,500000000000001 -0,234349231874578
0,516666666666668 -0,232161629253149
0,533333333333335 -0,229752229745376
0,550000000000001 -0,227106396050747
0,566666666666668 -0,224209006839715
0,583333333333335 -0,221044457119472
0,600000000000002 -0,217596659135793
0,616666666666668 -0,213849043855578
0,633333333333335 -0,209784563073182
0,650000000000002 -0,205385692181657
0,666666666666669 -0,200634433647938
0,683333333333335 -0,195512321228811
0,700000000000002 -0,190000424962069
0,716666666666669 -0,184079356964666
0,733333333333335 -0,177729278067179
0,750000000000002 -0,170929905310992
0,766666666666669 -0,163660520331852
0,783333333333336 -0,155899978650609
0,800000000000002 -0,147626719888759
0,816666666666669 -0,138818778923721
0,833333333333336 -0,12945379799557
0,850000000000002 -0,11950903977381
0,866666666666669 -0,108961401389905
0,883333333333336 -0,0977874294381813
0,900000000000003 -0,0859633359445198
0,916666666666669 -0,0734650152994085
0,933333333333336 -0,0602680621488467
0,950000000000003 -0,0463477902336464
0,966666666666669 -0,0316792521647677
0,983333333333336 -0,0162372601194036
