  0,000000 1,000000 0,000000
  0,051941 0,998651 -0,051941
  0,102110 0,994788 -0,101977
  0,151202 0,988584 -0,150690
  0,199632 0,980126 -0,198391
  0,247654 0,969469 -0,245229
  0,295422 0,956649 -0,291259
  0,343032 0,941698 -0,336475
  0,390544 0,924648 -0,380837
  0,437994 0,905537 -0,424283
  0,485406 0,884403 -0,466740
  0,532794 0,861292 -0,508126
  0,580167 0,836254 -0,548357
  0,627531 0,809344 -0,587350
  0,674888 0,780621 -0,625020
  0,722242 0,750148 -0,661285
  0,769594 0,717994 -0,696065
  0,816945 0,684230 -0,729282
  0,864294 0,648932 -0,760862
  0,911643 0,612179 -0,790735
  0,958992 0,574052 -0,818835
  1,006340 0,534638 -0,845097
  1,053688 0,494025 -0,869464
  1,101036 0,452304 -0,891881
  1,148384 0,409568 -0,912297
  1,195732 0,365914 -0,930666
  1,243080 0,321438 -0,946949
  1,290428 0,276242 -0,961107
  1,337776 0,230426 -0,973109
  1,385124 0,184093 -0,982928
  1,432472 0,137347 -0,990543
  1,479820 0,090293 -0,995935
  1,527168 0,043036 -0,999094
  1,574515 -0,004317 -1,000012
  1,621863 -0,051660 -0,998687
  1,669211 -0,098888 -0,995121
  1,716559 -0,145894 -0,989324
  1,763907 -0,192573 -0,981307
  1,811254 -0,238820 -0,971089
  1,858602 -0,284531 -0,958693
  1,905950 -0,329604 -0,944147
  1,953298 -0,373938 -0,927482
  2,000646 -0,417433 -0,908738
  2,047993 -0,459992 -0,887954
  2,095341 -0,501519 -0,865180
  2,142689 -0,541921 -0,840464
  2,190037 -0,581107 -0,813863
  2,237384 -0,618991 -0,785437
  2,284732 -0,655485 -0,755249
  2,332080 -0,690510 -0,723366
  2,379427 -0,723986 -0,689861
  2,426775 -0,755838 -0,654809
  2,474123 -0,785994 -0,618288
  2,521470 -0,814387 -0,580380
  2,568818 -0,840954 -0,541170
  2,616166 -0,865635 -0,500746
  2,663513 -0,888374 -0,459199
  2,710861 -0,909120 -0,416622
  2,758208 -0,927827 -0,373111
  2,805556 -0,944453 -0,328762
  2,852904 -0,958960 -0,283676
  2,900251 -0,971317 -0,237954
  2,947599 -0,981494 -0,191697
  2,994946 -0,989471 -0,145011
  3,042294 -0,995228 -0,098000
  3,089641 -0,998752 -0,050768
  3,136989 -1,000036 -0,003423
  3,184336 -0,999077 0,043930
  3,231684 -0,995878 0,091185
  3,279031 -0,990444 0,138235
  3,326379 -0,982789 0,184975
  3,373726 -0,972929 0,231300
  3,421074 -0,960887 0,277107
  3,468421 -0,946690 0,322292
  3,515769 -0,930369 0,366754
  3,563116 -0,911961 0,410393
  3,610464 -0,891508 0,453112
  3,657811 -0,869055 0,494815
  3,705158 -0,844653 0,535408
  3,752506 -0,818356 0,574800
  3,799853 -0,790223 0,612902
  3,847200 -0,760318 0,649630
  3,894548 -0,728708 0,684901
  3,941895 -0,695462 0,718636
  3,989243 -0,660657 0,750759
  4,036590 -0,624370 0,781198
  4,083937 -0,586683 0,809884
  4,131285 -0,547680 0,836754
  4,178632 -0,507448 0,861748
  4,225979 -0,466077 0,884808
  4,273326 -0,423662 0,905884
  4,320674 -0,380296 0,924928
  4,368021 -0,336077 0,941897
  4,415368 -0,291104 0,956753
  4,462715 -0,245478 0,969464
  4,510063 -0,199301 0,980000
  4,557410 -0,152678 0,988338
  4,604757 -0,105711 0,994459
  4,652104 -0,058508 0,998349
  4,699452 -0,011173 1,000000
  4,746799 0,036186 0,999409
  4,794146 0,083465 0,996575
  4,841493 0,130556 0,991506
  4,888840 0,177355 0,984213
  4,936187 0,223756 0,974713
  4,983535 0,269655 0,963026
  5,030882 0,314949 0,949179
  5,078229 0,359537 0,933204
  5,125576 0,403319 0,915134
  5,172923 0,446196 0,895013
  5,220270 0,488072 0,872884
  5,267617 0,528853 0,848796
  5,314964 0,568448 0,822805
  5,362311 0,606769 0,794969
  5,409658 0,643728 0,765349
  5,457005 0,679243 0,734012
  5,504352 0,713235 0,701030
  5,551699 0,745628 0,666474
  5,599046 0,776347 0,630424
  5,646393 0,805326 0,592960
  5,693740 0,832498 0,554165
  5,741087 0,857803 0,514128
  5,788434 0,881184 0,472937
  5,835781 0,902588 0,430686
  5,883128 0,921968 0,387468
  5,930475 0,939280 0,343382
  5,977822 0,954486 0,298525
  6,025169 0,967550 0,252998
  6,072516 0,978444 0,206904
  6,119863 0,987144 0,160346
  6,167210 0,993629 0,113428
  6,214557 0,997886 0,066255
  6,261903 0,999904 0,018934
  6,309250 0,999680 -0,028429
  6,356597 0,997214 -0,075729
  6,403944 0,992510 -0,122859
  6,451291 0,985581 -0,169713
  6,498638 0,976441 -0,216187
  6,545984 0,965111 -0,262176
  6,593331 0,951616 -0,307577
  6,640678 0,935986 -0,352289
  6,688025 0,918257 -0,396210
  6,735372 0,898469 -0,439242
  6,782718 0,876665 -0,481289
  6,830065 0,852895 -0,522257
  6,877412 0,827212 -0,562054
  6,924759 0,799673 -0,600589
  6,972105 0,770341 -0,637778
  7,019452 0,739281 -0,673536
  7,066799 0,706562 -0,707784
  7,114145 0,672259 -0,740444
  7,161492 0,636448 -0,771443
  7,208839 0,599210 -0,800712
  7,256185 0,560627 -0,828185
  7,303532 0,520787 -0,853801
  7,350879 0,479778 -0,877501
  7,398225 0,437694 -0,899234
  7,445572 0,394628 -0,918949
  7,492919 0,350676 -0,936604
  7,540265 0,305938 -0,952157
  7,587612 0,260514 -0,965575
  7,634958 0,214505 -0,976827
  7,682305 0,168015 -0,985888
  7,729651 0,121149 -0,992738
  7,776998 0,074010 -0,997362
  7,824345 0,026705 -0,999748
  7,871691 -0,020659 -0,999892
  7,919038 -0,067977 -0,997793
  7,966384 -0,115143 -0,993456
  8,013731 -0,162051 -0,986891
  8,061077 -0,208595 -0,978112
  8,108424 -0,254671 -0,967140
  8,155770 -0,300176 -0,953998
  8,203117 -0,345008 -0,938716
  8,250463 -0,389067 -0,921329
  8,297809 -0,432252 -0,901875
  8,345156 -0,474468 -0,880399
  8,392502 -0,515620 -0,856948
  8,439849 -0,555616 -0,831575
  8,487195 -0,594365 -0,804336
  8,534541 -0,631781 -0,775294
  8,581888 -0,667780 -0,744512
  8,629234 -0,702282 -0,712061
  8,676581 -0,735208 -0,678012
  8,723927 -0,766486 -0,642443
  8,771273 -0,796044 -0,605432
  8,818620 -0,823817 -0,567064
  8,865966 -0,849742 -0,527424
  8,913312 -0,873761 -0,486600
  8,960659 -0,895820 -0,444686
  9,008005 -0,915870 -0,401773
  9,055351 -0,933866 -0,357960
  9,102697 -0,949768 -0,313344
  9,150044 -0,963539 -0,268025
  9,197390 -0,975149 -0,222104
  9,244736 -0,984571 -0,175686
  9,292082 -0,991786 -0,128873
  9,339429 -0,996776 -0,081771
  9,386775 -0,999530 -0,034486
  9,434121 -1,000043 0,012877
  9,481467 -0,998312 0,060210
  9,528813 -0,994343 0,107409
  9,576160 -0,988143 0,154367
  9,623506 -0,979726 0,200979
  9,670852 -0,969113 0,247140
  9,718198 -0,956325 0,292747
  9,765544 -0,941393 0,337697
  9,812890 -0,924349 0,381890
  9,860236 -0,905232 0,425226
  9,907583 -0,884085 0,467609
  9,954929 -0,860955 0,508942
 10,000000 -0,837141 0,547230
